Name|Type|ActionType|Range(in feet)|Duration|CastingTime|RechargeValues(d6)|AttackAbilityMod|Description
Fire Punch|Fire|Spell|--|Instant|Bonus Action|4,5,6|--|Apply Burn with your next non-Fire Typed Melee Attack Action.
Fire Spin|Fire|Spell|60|1 Minutes|Action|6|--|Create a cyclone of spinning flame 15 ft in diameter in an area of your choosing that lasts 1 minute; Anyone on the rim of the cyclone (or passing through it) must make a DEX save or take 1d12 + INT damage and be Burned. Successful saves take half damage and are not Burned; Projectiles shot through the cyclone are deSTRoyed.
Flame Burst|Fire|Spell|60|Instant|Action|5,6|--|Choose an 10 ft area within range, all creatures within that area must make a DEX save or take Xd6 damage, where X is your prof bonus + 2, and are Burned; on a successful save targets take half damage and are not Burned.
Flame Charge|Fire|Spell|Touch|Instant|Action|4,5,6|STR,INT|1d6 + modifier damage; if you move 15 feet before use, the target must make a CONstitution saving throw or be Burned and knocked prone.
Flame Wheel|Fire|Spell|Touch|Instant|Reaction|4,5,6|INT|On an incoming attack you can shoot flames out hitting all adjacent targets for 1d4 + mod damage; If the incoming attack is a projectile of a Type damage weak to Fire, it is destroyed.
Flamethrower|Fire|Ranged Attack|60/180|Instant|Action|--|INT,DEX|1d10 + mod damage and target must make a DEX save or be Burned.
Flare Blitz|Fire|Melee Attack|Touch|Instant|Action|--|STR|1d12 + mod damage but make a DEX save or take 1/2 of the damage done.
Fusion Flare|Fire|Ranged Attack|60/180|Instant|Action|--|DEX,INT|1d12 + mod damage; if this action was taken in the same round as Fusion Bolt, the damage is doubled.
Heat Crash|Fire|Melee Attack|Touch|Instant|Action|--|INT,CON|1dX + mod damage, where X is 4 if you weigh less than your opponent, 8 if you weigh more or 12 if you weigh more than double.
Heat Wave|Fire|Spell|--|1 Minutes|Action|OPSR|--|If you are in direct sunlight, cause Intense Sunlight for the duration, and any creature that makes a non-Fire Typed Melee Attack Actions must make a CON save or suffer 1 point of exhaustion.
Incinerate|Fire|Ranged Attack|60|Instant|Reaction|5,6|INT|When an opponent is using an item, you can target them with a flame strike dealing 1d6 + mod damage and they must make a DEX save or the item is destroyed (if destructible) and has no effect.
Inferno|Fire|Spell|--|Instant|Action|OPSR|--|Enhance the Burned status effect of everyone in battle; resulting in anybody currently Burned becoming Hopelessly Burned, and anyone who suffered from the status and has since been cured of it (since the start of combat) is now Burned.
Lava Plume|Fire|Spell|60|10 Minutes|Action|5,6|--|Create a plume of lava within range that erupts from the earth forming a 10 ft zone of difficult terrain that lasts 10 minutes; Upon entering this terrain (or starting your turn in it) a creature must make a DEX save or take Xd6 + X damage, where X is your prof bonus, half on success. 
Mystical Fire|Fire,Psychic|Ranged Attack|30/90|Instant|Action|--|INT,WIS|1d8 + mod damage; this attack can either deal Fire or Psychic damage.
Overheat|Fire|Ranged Attack|30/90|Instant|Action|--|INT,DEX|1d10 + mod damage; You can choose to make this attack crit (if it hits) but you gain one point of exhaustion.
Sacred Fire|--|Trait|--|--|--|--|--|Instead of learning this move, you gain the Level Up Trait ‘Flash Fire’. You resist Fire damage, and whenever you are hit by a Fire Type move you gain advantage on all rolls until the end of your next turn.
Sunny Day|Fire|Spell|15|1 Minutes|Action|5,6|--|Create a zone around you (15 ft radius) of Intense Sunshine for the duration. Allies who are in this zone cannot be sneak attacked and enemies in this zone have disadvantage on saving throws.
Will-O-Wisp|Fire|Spell|60|Instant|Action|5,6|--|Lash out in a line of flame, all creatures in the path of the flame must make a DEX save or be Burned; Targets already Burned are Hopelessly Burned.
Aqua Jet|Water|Melee Attack|Touch|Instant|Reaction|5,6|STR,CON|When an adjacent target is making an attack action, you can make a Melee Attack against them first; 1d6 + mod damage.
Aqua Ring|Water|Spell|30|1d4+1 Rounds|Action|6|--|Create a 15 ft zone within range that lasts 1d4 +1 rounds and heals any creature that starts their turn in it for 1d8 + X, where X is your prof bonus.
Aqua Tail|Water|Melee Attack|Touch|Instant|Action,Bonus Action|--|STR,DEX|1d10 + mod damage; Aqua Tail can be used as a Bonus Action if your Action was a Melee Attack.
Brine|Water|Ranged Attack|70/210|Instant|Action|--|DEX,CON|1d8 + mod damage; if target has been attacked previously this round, the damage of this attack auto-crits.
Bubble|Water|Ranged Attack|20/60|1 Rounds|Action|--|WIS,CHA|1d4 + modifier damage; target must make a CHA saving throw or have their movement is 0 until your next turn.
Bubblebeam|Water|Ranged Attack|20/60|1 Rounds|Action|--|WIS,CHA|Make a Bubble attack against 1d4 targets;
Clamp|Water|Spell|Touch|Instant|Action|4,5,6|STR,CON|Choose an adjacent target; Target must make a strength saving throw or be grappled and take 1d8 + mod damage. As long as the target is still grappled you can use your Bonus Action in following turns to reapply the damage.
Crabhammer|Water|Spell|--|Instant|Bonus Action|4,5,6|--|Add 1d10 to your next Melee Attack Action, it also crits on 18, 19, or 20.
Dive|Water|Ranged Attack|30/90|1 Rounds|Action|--|STR,WIS|Can only be used in water; 1st turn, choose a target and dive underwater (most moves cannot hit you here at the discretion of the DM); 2nd turn, if your target has not moved this will auto-hit, otherwise make an attack roll; 1d12 + mod damage; You end this attack adjacent to your target whether you hit or miss them.
Hydro Cannon|Water|Ranged Attack|60/180|Instant|Action|--|DEX,WIS|1d12 + X + mod damage; where X is your trainer class level; If you hit with the attack make a DC 12 CON saving throw or forfeit your next action.
Hydro Pump|Water|Ranged Attack|60/180|Instance|Action|--|DEX,INT|2d10 + mod damage; target is knocked back the same distance as damage dealt.
Muddy Water|Water|Spell|--|1 Rounds|Bonus Action|5,6|--|The next Water Type attack you make causes any affected targets to have disadvantage on any rolls requiring vision until the end of their next turn.
Octazooka|Water|Spell|20|1 Rounds|Action|5,6|--|Spray ink in a 20 ft. cone, all targets in the area must make a DEX save or be Blinded and knocked prone.
Rain Dance|Water|Spell|15|1 Minutes|Action|5,6|--|Create a zone around you (15 ft radius) of Hard Rainfall for the duration. Allies who are in this zone resist fire damage and enemies in this zone have disadvantage on Ranged Attack Actions.
Razor Shell|Water|Melee Attack|Touch|1 Rounds|Action|--|STR,DEX|1d8 + mod damage and targets AC is lowered by 1 until the end of their next turn.
Scald|Water|Spell|--|1 Rounds|Bonus Action|5,6|--|Your next Water Typed Attack Action Burns the target, and they must make a CON save or be Blinded.
Soak|Water|Spell|60|1 Minutes|Action|6|--|Choose a target within range to make a DEX save or be soaked in water for the duration; electric attacks always crit them and any Attack Actions they make are considered Water Type.
Surf|Water|Spell|30|Instant|Action|5,6|--|Create a wave of water 30 ft by 10 ft; Any creature in the waves path must make a STR save or take Xd6 damage, where X is your prof bonus, and be pushed to the end of the flow of water; half damage and no push on success.
Water Gun|Water|Ranged Attack|20/60|Instant|Action|--|WIS,DEX|1d6 + modifier damage.
Water Pledge|Water|Ranged Attack|30/90|Instant|Action|--|CON|1d8 + mod damage; deals double damage if Grass Pledge or Fire Pledge were used by an ally in the same round.
Water Pulse|Water|Spell|15|1 Minutes|Action|5,6|WIS|Create a pulse of watery force in a 15 ft cone; targets within this cone take 2d6 + mod damage and make a WIS save or be Confused; Targets underwater auto-fail this save.
Water Shuriken|Water|Ranged Attack|20/60|Instant|Action|--|WIS,DEX|Roll 1d4 and make that many Water Gun attacks.
Water Sport|Water|Spell|30|1d4 Rounds|Action,Bonus Action|5,6|--|You douse everywhere around you in a 30 ft radius with water; Any creatures in that zone resist fire type attacks; Any electric type attacks made in this zone have advantage; Lasts 1d4 rounds; This costs a Bonus Action if you're in Hard Rainfall.
Water Spout|Water|Spell|10|Instant|Action|5,6|--|All creatures within range of you must make STR save or take Xd10 damage, where X is your prof bonus + 1,  and be knocked prone; Half on successful save; This spell leaves the area as difficult terrain.
Whirlpool|Water|Spell|60|1 Minutes|Action|6|--|Can only be used in water; Create a 20 ft zone, within range, of whirlpool for the duration; creatures who enter this zone or start their turn in it must make a STR save or be sucked to the center of the zone and are restrained. They can repeat the save at the end of their turn.
Withdraw|Water|Spell|--|Instant|Bonus Action|--|--|Can disengage without taking attacks of opportunity. 
Bolt Strike|Electric|Melee Attack|Touch|1 Minutes|Action|--|STR,DEX|1d12 + modifier damage and target must make a CON saving throw or be Paralyzed; target can repeat their save at the end of their turn.
Charge|Electric|Spell|--|2 Rounds|Action|5,6|--|Gain resist to Spell damage for 2 rounds, and gain advantage on your next attack action.
Charge Beam|Electric|Ranged Attack|80/240|Instant|Action|--|INT|1d8 + mod damage, your next attack deals X additional damage, where X is your Trainer Class level.
Discharge|Electric|Spell|Touch|Instant|Action|5,6|--|All adjacent creatures of your choice must make a DEX save or gain a charge of static.
Eerie Impulse|Electric|Spell|15|Instant|Action|5,6|--|Project a 15 ft. cone of white noise. If the creatures can hear you they must make a INT save or the next save DC for a spell they cast is halved.
Electric Terrain|Electric|Spell|15|1 Minutes|Action|5,6|--|Create a zone around you (15 ft radius) of static for the duration. Allies who are in this zone cannot be put to sleep and enemies in this zone at the beginning of their turn gain a charge of static.
Electrify|Electric|Spell|--|10 Minutes|Action|6|--|This pokemon’s type is Electric for the duration. 
Electro Ball|Electric|Spell|60/180|Instant|Action|4,5,6|--|Target must make a CON save or take Xd6, where X is every 5 ft. higher your speed is than theirs (at the time of saving throw) + 1; or half damage on a success.
Electroweb|Electric|Ranged Attack|20/60|2 Rounds|Action|--|DEX,WIS|1d6 + mod damage; and halves their movement speed for the duration. 
Fusion Bolt|Electric|Melee Attack|Touch|Instant|Action|--|STR,INT|1d12 + mod damage; if this was action was taken in the same round as Fusion Flare, the damage is doubled.
Ion Deluge|Electric|Spell|--|Instant|Bonus Action|4,5,6|--|The next attack or spell is typed as Electric.
Magnet Rise|Electric|Spell|--|1d4+1 Rounds|Action|5,6|--|For the duration the user cannot be hit by Ground Type moves.
Magnetic Flux|Electric|Spell|--|1d4+1 Rounds|Action|5,6|--|Raise the AC of one ally by 1 for the duration.
Nuzzle|Electric|Spell|Touch|1 Minutes|Action|5,6|--|Target must make a CON saving throw or be Paralyzed. If they succeed they are Confused until the end of their next turn. Target can repeat their save at the end of their turn.
Parabolic Charge|Electric|Spell|Touch|Instant|Action|5,6|INT|Deal 1d6 + mod damage to each adjacent enemy; Heal half the damage dealt to any enemy with a CHArge of static.
Shock Wave|Electric|Melee Attack|Touch|Instant|Action|--|INT,DEX|1d6 + mod damage; you cannot have disadvantage on this attack.
Spark|Electric|Spell|Touch|1 Minutes|Action|4,5,6|STR,INT|1d6 + modifier damage; if you move 10 feet before use, the target must make a CON saving throw or be Paralyzed; target can repeat their save at the end of their turn.
Thunder|Electric|Spell|60|1d4 Rounds|Action|5,6|--|Choose a 20 ft area within range, in that area a thunderstorm begins and lasts for the duration. All targets in that zone must immediately make a DEX saving throw or take Xd10 + X damage, where X is double your prof bonus, and gain a charge of static; half on successful save; Any creature that starts their turn in that zone gains 2 charges of static.
Thunder Fang|Electric|Spell|--|Instant|Action|4,5,6|--|Apply two charges of static with your next non-Electric melee attack action.
Thunder Punch|Electric|Melee Attack|Touch|Instant|Action|--|INT,STR|1d10 + mod damage; Target must make a CON save or gain a charge of static.
Thunderbolt|Electric|Ranged Attack|80/240|1 Minutes|Action|--|INT,DEX|1d10 + mod damage; Target must make a CON save or be Paralyzed; on a successful save they gain a charge of static; target can repeat their save at the end of their turn; target can repeat their save at the end of their turn.
Thunder Shock|Electric|Ranged Attack|60/180|Instant|Action|--|INT,DEX|1d4 + mod damage and target must make a CON save or gain a charge of static.
Thunder Wave|Electric|Spell|10|1 Minutes|Action|6|--|Anyone in a 10 ft radius from you must make a DEX saving throw or be Paralyzed; all targets are knocked back 10 ft; targets can repeat their save at the end of their turn.
Volt Switch|Electric|Spell|Touch|Instant|Action|5,6|--|Target up to X adjacent creatures to consume their charges of static, where X is your prof bonus. You can use 4 charges to cure a status effect, or be healed for 1d6 hp per charge.
Volt Tackle|Electric|Melee Attack|Touch|1 Minutes|Action|--|STR,INT|1d12 + modifier damage; if you move 15 feet before use the target must make a CON saving throw or be Paralyzed. You take 1/3 of damage dealt.
Wild Charge|Electric|Spell|30|Instant|Action|5,6|INT,DEX|Choose a target to make a Ranged Attack against; if it hits, roll 1d4 and the following takes place; 1 - 1d4 + mod damage; 2 - Teleport to a square adjacent to the target; 3 - Target gains 2 charges of static; 4 - 6d6 + mod damage.
Zap Cannon|Electric|Spell|120|Instant|Action|5,6|--|Target must make a DEX saving throw or take Xd10 damage, where X is your half you trainer class level, and gain a charge of static. On success they take half and avoid the charge of static.
Absorb|Grass|Ranged Attack|20/60|Instant|Action|--|WIS,CHA|1d4 + modifier damage, you receive %50 of damage done as hp (cannot exceed max hp); 
Aromatherapy|Grass|Spell|20|Instant|Action|OPSR|--|Release aromatic scent spores that heal you, and any allies that can smell within range of you, of any Status effects.
Bullet Seed|Grass|Ranged Attack|60/180|Instant|Action|--|DEX|Make 1d4 of the following attacks; 1d4 + mod damage; if all of these attacks hit against the same target, they are rooted in place (requiring a DC 10 + prof bonus STR save and an Action to break free).
Cotton Guard|Grass|Spell|--|Instant|Reaction|4,5,6|--|On incoming Attack or Spell, as long as you are not weak to the damage Type, you can incur disadvantage on the attack and/or have advantage on the save.
Cotton Spore|Grass|Spell|Touch|1 Rounds|Bonus Action|5,6|--|Release a cloud of cotton spores, all adjacent targets of your choosing must make a CON save or be Blinded.
Energy Ball|Grass|Ranged Attack|80/240|Instant|Action|--|WIS,DEX|1d10 + mod damage and the target suffers disadvantage on their next saving throw.
Forest’s Curse|Grass|Spell|60|1 Minutes|Action|6|--|Choose a target to make a DEX save or be overgrown in foliage for the duration; Fire attacks always crit them and any Attack Actions they make are considered Grass Type. Overgrown creatures can make a STR check as an action DC 15.
Frenzy Plant|Grass|Ranged Attack|80/240|Instant|Action|--|DEX,WIS|2d8 + X + mod damage; where X is your trainer class level; If you hit with the attack make a DC 12 CON saving throw or forfeit your next action.
Giga Drain|Grass|Ranged Attack|30/90|Instant|Action|--|WIS,CHA|1d8 + modifier damage, you receive %100 of damage done as hp (cannot exceed max hp).
Grass Knot|Grass|Spell|--|Instant|Bonus Action|4,5,6|--|Your next Melee Attack Action has advantage if your target weighs more than you; and you gain 1d10 damage if they weigh more than double you.
Grass Pledge|Grass|Ranged Attack|30/90|Instant|Action|--|CON|1d8 + mod damage; deals double damage if Water Pledge or Fire Pledge were used by an ally in the same round.
Grass Whistle|Grass|Spell|60|1 Minutes|Action|5,6|--|Choose a target to make a WIS save or be put to Sleep. Target can repeat the save at the end of their turn.
Grassy Terrain|Grass|Spell|15|1 Minutes|Action|5,6|--|Create a zone around you (15 ft radius) of grassy terrain for the duration. Any creature that starts their turn in this area gain 1d6 + X hp where X is their prof bonus.
Horn Leech|Grass|Spell|--|Instant|Bonus Action|4,5,6|--|Your next Melee Attack Action heals you for 50% of the damage done, and crits on 19 or 20.
Ingrain|Grass|Spell|--|Instant|Bonus Action|4,5,6|--|Root yourself, making your movement speed 0, but at the end of each turn you gain Xd6 hp, where X is the number of turns in a row that you’ve been Ingrained; Takes a Bonus Action to unroot.
Leaf Blade|Grass|Melee Attack|Touch|Instant|Action|--|STR,CHA|1d8 + mod damage; This attack crits on 19 or 20.
Leaf Storm|Grass|Spell|60|Instant|Action|5,6|--|Choose an 10 ft area within range, all creatures within that area must make a DEX save or take Xd6 damage, where X is your prof bonus + 2, and their next Spell DC is lowered by 5; on a successful save targets take half damage. 
Leaf Tornado|Grass|Spell|60|3 Rounds|Action|5,6|--|Choose a 20 ft area within range, in that area to summon a wild cyclone for the duration; All targets in that zone must immediately make a STR saving throw or take Xd6 + X damage, where X is half your Trainer Class Level, and be sucked to the center; Projectiles shot through the cyclone are dedtroyed. Targets move have their move speed through the tornado.
Leech Seed|Grass|Spell|--|Instant|Bonus Action|4,5,6|--|Your next Ranged Attack Action causes your target make a STR save or be seeded; Seeded opponents are sapped of 1d8 + X hp (which you gain) at the start of their turn, where X is your prof bonus; to become unseeded you must spend an Action or be retracted.
Magical Leaf|Grass|Melee Attack|Touch|Instant|Action|--|STR,DEX|1d6 + mod damage; you cannot have disadvantage on this attack.
Mega Drain|Grass|Melee Attack|Touch|Instant|Action|--|STR,CHA|1d6 + modifier damage, you receive %50 of damage done as hp (cannot exceed max hp).
Needle Arm|Grass|Melee Attack|Touch|Instant|Action|--|STR,WIS|1d8 + mod damage; if you attacked before your target has had their turn this round, they must make a CON save or lose their next turn.
Petal Blizzard|Grass|Melee Attack|Touch|Instant|Action|--|WIS,CON|Target all adjacent creatures with the following attack; 1d12 + mod damage; If you’ve used any Spore effects this turn they apply their effect to any targets hit by this attack.
Petal Dance|Grass|Spell|--|Instant|Action|OPSR|--|Put yourself into a flower dancer’s stance resulting in the following effects.: Advantage on CON and WIS saves, all Melee Attack Actions you make hit in an aoe around you, any tiles adjacent to you count as difficult terrain, and you cannot make Reactions; Takes a Bonus Action to drop Petal Dance, and anytime you suffer from a status you must make a DC 12 CON save or drop Petal Dance.
Power Whip|Grass|Spell|30|Instant|Action|4,5,6|STR,CON|Choose a target to make a STR saving throw or be grappled and take 1d10 + mod damage. As long as the target is still grappled you can use your Bonus Action in following turns to reapply the damage; You can also choose to break the grapple by throwing your target 30 ft in any direction as a Bonus Action.
Leaf Blade|Grass|Ranged Attack|20/60|Instant|Action|--|DEX,CHA|1d8 + mod damage; This attack crits on 19 or 20.
Seed Bomb|Grass|Ranged Attack|30/90|Instant|Action|5,6|DEX|Fire a large seed at a target; 1d6 + mod damage; Whenever you decide, or when you are retracted, or when the Seed is attacked it explodes dealing Xd6 damage, where X is the number of turns the Seed has been in play + 4.
Sleep Powder|Grass|Spell|Touch|1 Minutes|Bonus Action|5,6|--|Release a cloud of sleep spores, all adjacent targets of your choosing must make a CON save or be put to Sleep.
Solar Beam|Grass|Ranged Attack|80/240|2 Rounds|Action|--|DEX,WIS|1st turn, charge in the sunlight; 2nd turn, Xd12 + mod damage, where X is your prof bonus; If you are in Intense Sunlight skip the 1st turn.
Spiky Shield|Grass|Spell|Touch|Instant|Action|5,6|--|Summon a shield, made from a huge succulent, for you or one nearby ally; While wielding the shield you gain +2 AC, each attack you take has a chance to break the shield; to see if it breaks roll 1d4: on 1 - the shield breaks and you take 1d6 damage; on 2 - the shield breaks; on 3 - nothing happens, on 4 -  you deal 1d6 damage to your attacker.
Spore|--|Trait|--|--|--|--|--|Instead of learning this move you gain the Level Up Trait ‘Sleepy Spores’. Whenever you’re attacked by a melee attack you let loose some spores, the attacker must make a wis save or fall asleep.
Stun Spore|Grass|Spell|Touch|1 Minutes|Bonus Action|5,6|--|Release a cloud of stunning spores, all adjacent targets of your choosing must make a CON save or be Paralyzed. Affected targets can repeat the save at the end of their turn.
Synthesis|Grass|Spell|--|Instant|Action|5,6|WIS,CON|Heal yourself for Xd8 + mod HP, where X is your prof bonus; In direct sunshine this healing is doubled.
Vine Whip|Grass|Ranged Attack|20/60|Instant|Action|--|DEX,WIS|1d4 + mod damage, target must make a DEX save or you can move them 10 ft in any direction.
Wood Hammer|Grass|Spell|10|10 Minutes|Action|OPSR|STR,CON|Summon a huge Wooden Hammer within range; 1d12 + mod damage; Attacks with this hammer hit in a 5 ft cone in front of the user but make a DC 12 DEX save or take 1/2 of the highest damage dealt to one target.
Worry Seed|Grass|Spell|10|1 Minutes|Action|5,6|--|Fashion a wreathe of tickling vines that lasts for the duration, or until they remove it, and give it to an ally within range to wear (can be yourself); While wearing this wreathe you cannot be put to Sleep.
Aurora Beam|Ice|Ranged Attack|60/180|1 Rounds|Action|--|DEX,INT|1d8 + mod damage; If the target can see you they must make a INT save or be Blinded. They can repeat the save at the end of their turn.
Avalanche|Ice|Spell|60|Instant|Action|5,6|--|Choose two targets (or four targets if you’ve taken damage this round) within range to make a DEX save or take Xd8 damage, where X is your prof bonus;
Blizzard|Ice|Spell|60|1d4 Rounds|Action|5,6|--|Choose a 20 ft area within range, in that area a blizzard begins and lasts for the duration. All targets in that zone must immediately make a DEX saving throw or take Xd10 + X damage, where X is double your prof bonus, and are Frozen; half damage on success; Any creature that starts their turn in that zone must re-make the save of be Frozen.
Freeze-Dry|Ice|Spell|30|1 Minutes|Action|5,6|--|Choose a target within range to make a CON save or be Frozen; Water Type Pokemon have disadvantage on this save.
Frost Breath|Ice|Spell|10|1d4+1 Rounds|Action|4,5,6|--|Shoot frosty breath in a 10ft cone; Targets in this area must make a CON save or take Xd8 damage and have their move speed is reduced by half for the duration; half damage on success.
Hail|Ice|Spell|15|1 Minutes|Action|5,6|--|Create a zone around you (15 ft radius) of Hailstorm for 1 minute. Allies who are in this zone cannot be burned and enemies in this zone at the beginning of their turn take Xd4 damage, where X is your prof bonus.
Haze|Ice|Spell|--|10 Minutes|Action|OPLR|--|Call in Thick Fog over the battlefield that lasts for 10 minutes; all creatures within the Thick Fog cannot have advantage nor disadvantage on skills checks, saving throws, or attacks; all vision range is reduced by half in fog.
Ice Ball|Ice|Spell|--|Instant|Bonus Action|6|--|When your learn this move, you also learn Rock Throw; Summon 1d4 large, solid, ice balls adjacent to you creating difficult terrain. One ice ball can be thrown using Rock Throw (but deals Ice damage); Once all the ice balls have been thrown, there is no longer difficult terrain on that square.
Ice Beam|Ice|Ranged Attack|80/240|1 Minutes|Action|--|WIS,DEX|1d10 + mod damage; Target must make a CON save or be Frozen; on a successful save they lose 10 ft of their move speed until the end of their next turn.
Ice Fang|Ice|Spell|--|Instant|Action|5,6|--|Your next non-Ice Typed Melee Attack Action deals an equal amount of Ice damage.
Ice Punch|Ice|Melee Attack|Touch|1 Minutes|Action|--|STR,DEX|1d10 + mod damage; Target must make a CON save or be Frozen; on a successful save they lose 10 ft of their move speed until the end of their next turn.
Ice Shard|Ice|Spell|--|1d4 Rounds|Reaction|--|CON|Upon being attacked, you can detonate some of your ice armor (lose -1 AC for the duration) to retaliate Xd4 + mod damage back to the attacker, where X is your prof bonus.
Icicle Crash|Ice|Spell|60|Instant|Action|6|--|Summon a huge icicle above 10 ft zone within range; The icicle can be held there to released later as a Bonus Action, or it drops immediately if you take damage or are retracted; Non-Ice Typed creatures under the icicle when it drops must make a DEX save or take Xd8 damage, where X is double your prof bonus, and lose their next turn; on successful save target takes half damage; Ice Typed creatures automatically save; Any target has disadvantage on this save in a Hailstorm or Thick Fog.
Icicle Spear|Ice|Ranged Attack|60/180|Instant|Action|--|DEX,WIS|1d6 + mod damage; Creatures within 5 ft of your target must make a DEX save or take Xd6 damage, where X is your prof bonus; Gain an additional projectile at lvl 8 and lvl 14;
Icy Wind|Ice|Spell|10|1 Minutes|Action|5,6|STR|Buffet foes in a 10 ft cone with harsh icy winds; All targets within the cone must make a STR save or take Xd6 + mod damage, where X is half your prof bonus, and be knocked prone; targets already prone are Frozen; successful saves take half damage.
Mist|Ice|Spell|--|10 Minutes|Action|OPLR|--|Call in Thick Fog over the battlefield that lasts for 10 minutes; all creatures within the Thick Fog cannot have advantage nor disadvantage on skills checks, saving throws, or attacks; all vision range is reduced by half in fog.
Powder Snow|Ice|Spell|Touch|1 Minutes|Bonus Action|5,6|--|Release a cloud of frozen spores, all adjacent targets of your choosing must make a CON save or be Frozen.
Sheer Cold|Ice|Trait,Spell|--|Instant|Bonus Action|6|--|Empower your next Melee Attack Action with frigid cold, at the cost of accuracy; Gain disadvantage on your next Melee Attack Action, but on hit deal deal 4x the damage dice value (stacks with crit). If you are Ice Type, instead of learning this move, gain the Trait 'Ice Bender'. You have fully attuned to the ice and can choose to make any Ranged Attack Action deal Ice Type damage, dealing an additional 1d6 if you do; Also, Once per short rest, as an Action you can conjure a devastating, targeted frost storm: (cast Blizzard in an area of your choosing within 60 ft.) dealing the regular damage and an additional Xd6, where X is your prof bonus, to anyone who fails their saving throw.
Arm Thrust|Fighting|Melee Attack|Touch|Instant|Action|--|STR,DEX|Make 1d4 Pound attacks; if you make all the attacks against one target and they all hit the target is thrown back 30 ft.
Aura Sphere|Fighting|Melee Attack|Touch|Instant|Action|--|STR|1d10 + mod damage; This attack cannot have disadvantage.
Brick Break|Fighting|Spell|--|Instant|Bonus Action|4,5,6|--|Your next Melee Attack Action breaks any Reflect or Light Screen surrounding your target; This also causes your attack to deal double damage vs walls/structures.
Bulk Up|Fighting|Spell|--|1 Rounds|Action|5,6|--|Gain +2 AC until your next turn, after that you keep the bonus as long as you hit with a Melee Attack Action that turn.
Circle Throw|Fighting|Melee Attack|Touch|Instant|Action|--|STR,CON|1d8 + mod damage; on hit your target is automatically Grappled and can be thrown as a Bonus Action up to 30 ft.
Close Combat|--|Trait|--|--|--|--|--|Instead of learning this move you gain the Pokemon Level Up Trait ‘Versatile Combatant’. Whenever you use a Melee Attack Action you can choose to have advantage on it and gain 1d6 damage on it, but your creatures would get advantage on any attacks against you until the beginning of your next turn. 
Counter|Fighting|Spell|--|5 Rounds|Action|6|--|For the duration you can use your Reaction to attack anyone that attacks you.
Cross Chop|Fighting|Melee Attack|Touch|Instant|Action|--|STR,DEX|Make 2 Karate Chop attacks; If they both hit against the same target deal an additional 1d10 + mod damage; If the first attack crits, the second will deal crit damage on hit (even against another target).
Detect|Fighting|Spell|--|1 Rounds|Action|6|--|Choose one ally (can be yourself) they get advantage on all saving throws until the end of their next turn.
Double Kick|Fighting|Melee Attack|Touch|Instant|Action|--|STR,DEX|1d6 + mod damage; if the attack hits you can make one additional attack (using the same damage).
Drain Punch|Fighting|Spell|--|Instant|Bonus Action|5,6|--|Your next Melee Attack Action heals you for half the damage done.
Dynamic Chop|Fighting|Melee Attack|Touch|1 Minutes|Action|--|STR,DEX|1d12 + mod damage; If the target attacked you this round (before your turn) they are Confused. They can repeat their save at the end of their turn.
Final Gambit|Fighting|Spell|30|Instant|Action|OPSR|--|Choose a target to make a DEX save or take X damage, where X is your remaining hp, or half on success; You faint after using this move.
Flying Press|Fighting|Spell|--|Instant|Bonus Action|4,5,6|--|Your next Melee Attack Action can be considered Flying or Fighting Typed.
Focus Blast|Fighting|Ranged Attack|80/240|Instant|Action|5,6|DEX,CON|Xd6 + mod damage; where X is double your prof bonus; on hit target must make a WIS save or have disadvantage on saves until the end of its next turn.
Focus Punch|Fighting|Spell|Touch|1 Rounds|Action|--|DEX,STR|1st turn, tighten your focus until your next turn, if you are struck before your next turn you lose focus; At the beginning of your next turn, deal 4d8 + mod damage to an adjacent target.
Force Palm|Fighting|Melee Attack|Touch|1 Minutes|Action|--|STR,DEX|1d8 + mod damage; On hit target must make a CON save or be Paralyzed.
Hammer Arm|Fighting|Melee Attack|Touch|1 Rounds|Action|--|STR,CON|1d10 + mod damage; Both you and your target have half movement until the end of your next turn.
High Jump Kick|Fighting|Melee Attack|Touch|Instant|Action|--|STR,DEX|1d12 + mod damage; if you moved 10 ft. before making this attack you can must add 1d8 damage on hit, but on a miss you must make a DC 12 DEX save or take 1d10 damage.
Jump Kick|Fighting|Spell|--|Instant|Bonus Action|5,6|--|Your next Melee Attack Action has 5 ft additional range, but if you miss you take 1d12 - prof bonus damage.
Karate Chop|Fighting|Melee Attack|Touch|Instant|Action|--|STR,DEX|1d6 + mod damage, this attack crits on 19 or 20.
Low Kick|Fighting|Spell|--|Instant|Bonus Action|5,6|--|Your next melee attack action targets an opponent’s legs, sending your opponent prone if it hits; if your target weighs more than you deal an additional 1d4; if they weigh more than double you deal an additional 1d10.
Low Sweep|Fighting|Spell|Touch|Instant|Reaction|5,6|--|On a missed incoming melee attack, spin and sweep their legs dealing 1d6 damage and knocking them prone.
Mach Punch|Fighting|Melee Attack|Touch|Instant|Reaction|4,5,6|STR,DEX|When an adjacent target is making an attack action, you can make a melee attack against them first; 1d4 + mod damage.
Mat Block|Fighting|Spell|Touch|Instant|Reaction|5,6|--|When an adjacent ally is being targeted by an attack, you can force the attack to target you and gain +1 to your AC against it.
Power-Up Punch|Fighting|Melee Attack|Touch|Instant|Action|--|STR,DEX|Xd6 + modifier damage, where X is the number of consecutive rounds this action has hit it’s target.
